date,driver_number,lap_number,x,y,z
2023-09-03T14:09:46.619000+00:00,1,33,-1363,-550,1872
2023-09-03T14:09:46.839000+00:00,1,33,-1335,-238,1874
2023-09-03T14:09:47.320000+00:00,1,33,-1309,57,1875
2023-09-03T14:09:47.399000+00:00,1,33,-1303,128,1875
2023-09-03T14:09:47.560000+00:00,1,33,-1290,268,1876
2023-09-03T14:09:47.780000+00:00,1,33,-1274,462,1877
2023-09-03T14:09:48.160000+00:00,1,33,-1240,852,1879
2023-09-03T14:09:48.480000+00:00,1,33,-1220,1083,1880
2023-09-03T14:09:48.760000+00:00,1,33,-1193,1404,1882
2023-09-03T14:09:49.140000+00:00,1,33,-1163,1745,1884
2023-09-03T14:09:49.600000+00:00,1,33,-1134,2087,1886
2023-09-03T14:09:49.800000+00:00,1,33,-1118,2267,1887
2023-09-03T14:09:50.799000+00:00,1,33,-1034,3247,1891
2023-09-03T14:09:51.099000+00:00,1,33,-1010,3519,1893
2023-09-03T14:09:51.379000+00:00,1,33,-988,3773,1894
2023-09-03T14:09:51.419000+00:00,1,33,-985,3809,1895
2023-09-03T14:09:51.659000+00:00,1,33,-967,4026,1896
2023-09-03T14:09:51.880000+00:00,1,33,-949,4225,1897
2023-09-03T14:09:52.140000+00:00,1,33,-922,4549,1898
2023-09-03T14:09:52.559000+00:00,1,33,-897,4836,1900
2023-09-03T14:09:52.720000+00:00,1,33,-884,4980,1900
2023-09-03T14:09:52.879000+00:00,1,33,-872,5123,1901
2023-09-03T14:09:53.260000+00:00,1,33,-843,5462,1902
2023-09-03T14:09:53.419000+00:00,1,33,-831,5604,1903
2023-09-03T14:09:53.679000+00:00,1,33,-808,5869,1905
2023-09-03T14:09:53.939000+00:00,1,33,-791,6064,1906
2023-09-03T14:09:54.259000+00:00,1,33,-761,6429,1908
2023-09-03T14:09:54.640000+00:00,1,33,-741,6666,1910
2023-09-03T14:09:54.880000+00:00,1,33,-724,6864,1911
2023-09-03T14:09:55.079000+00:00,1,33,-711,7024,1911
2023-09-03T14:09:55.339000+00:00,1,33,-694,7218,1912
2023-09-03T14:09:55.540000+00:00,1,33,-684,7346,1913
2023-09-03T14:09:55.619000+00:00,1,33,-680,7397,1913
2023-09-03T14:09:55.940000+00:00,1,33,-663,7595,1914
2023-09-03T14:09:56.340000+00:00,1,33,-646,7787,1915
2023-09-03T14:09:56.380000+00:00,1,33,-644,7805,1915
2023-09-03T14:09:56.640000+00:00,1,33,-632,7914,1916
2023-09-03T14:09:56.940000+00:00,1,33,-614,8021,1917
2023-09-03T14:09:57.120000+00:00,1,33,-599,8076,1918
2023-09-03T14:09:57.301000+00:00,1,33,-581,8126,1918
2023-09-03T14:09:57.519000+00:00,1,33,-534,8209,1919
2023-09-03T14:09:57.840000+00:00,1,33,-505,8242,1919
2023-09-03T14:09:58.100000+00:00,1,33,-459,8277,1919
2023-09-03T14:09:58.279000+00:00,1,33,-423,8294,1920
2023-09-03T14:09:58.599000+00:00,1,33,-358,8310,1920
2023-09-03T14:09:58.680000+00:00,1,33,-341,8313,1920
2023-09-03T14:09:58.879000+00:00,1,33,-300,8321,1920
2023-09-03T14:09:59.099000+00:00,1,33,-256,8335,1920
2023-09-03T14:09:59.300000+00:00,1,33,-220,8355,1920
2023-09-03T14:09:59.520000+00:00,1,33,-187,8387,1921
2023-09-03T14:09:59.800000+00:00,1,33,-161,8438,1921
2023-09-03T14:10:00.020000+00:00,1,33,-150,8481,1922
2023-09-03T14:10:00.219000+00:00,1,33,-144,8519,1922
2023-09-03T14:10:00.400000+00:00,1,33,-142,8553,1923
2023-09-03T14:10:00.519000+00:00,1,33,-141,8576,1923
2023-09-03T14:10:00.720000+00:00,1,33,-142,8615,1923
2023-09-03T14:10:01.039000+00:00,1,33,-150,8680,1923
2023-09-03T14:10:01.280000+00:00,1,33,-165,8755,1924
2023-09-03T14:10:01.540000+00:00,1,33,-174,8793,1924
2023-09-03T14:10:01.840000+00:00,1,33,-194,8871,1924
2023-09-03T14:10:02.060000+00:00,1,33,-211,8934,1925
2023-09-03T14:10:02.260000+00:00,1,33,-228,8996,1925
2023-09-03T14:10:02.460000+00:00,1,33,-245,9061,1925
2023-09-03T14:10:02.680000+00:00,1,33,-264,9133,1925
2023-09-03T14:10:02.940000+00:00,1,33,-300,9280,1926
2023-09-03T14:10:03.200000+00:00,1,33,-314,9338,1926
2023-09-03T14:10:03.460000+00:00,1,33,-341,9454,1928
2023-09-03T14:10:03.760000+00:00,1,33,-375,9629,1928
2023-09-03T14:10:04.139000+00:00,1,33,-405,9840,1930
2023-09-03T14:10:04.439000+00:00,1,33,-416,9964,1930
2023-09-03T14:10:04.620000+00:00,1,33,-421,10069,1931
2023-09-03T14:10:04.999000+00:00,1,33,-427,10375,1933
2023-09-03T14:10:05.240000+00:00,1,33,-426,10452,1933
2023-09-03T14:10:05.579000+00:00,1,33,-421,10673,1934
2023-09-03T14:10:05.800000+00:00,1,33,-413,10820,1935
2023-09-03T14:10:05.980000+00:00,1,33,-404,10943,1935
2023-09-03T14:10:06.219000+00:00,1,33,-385,11152,1936
2023-09-03T14:10:06.580000+00:00,1,33,-358,11365,1936
2023-09-03T14:10:06.660000+00:00,1,33,-350,11423,1936
2023-09-03T14:10:06.880000+00:00,1,33,-322,11581,1936
2023-09-03T14:10:07.100000+00:00,1,33,-286,11741,1936
2023-09-03T14:10:07.380000+00:00,1,33,-230,11944,1937
2023-09-03T14:10:07.539000+00:00,1,33,-192,12060,1937
2023-09-03T14:10:07.859000+00:00,1,33,-89,12318,1936
2023-09-03T14:10:08.100000+00:00,1,33,-22,12460,1937
2023-09-03T14:10:08.360000+00:00,1,33,76,12640,1937
2023-09-03T14:10:08.679000+00:00,1,33,215,12855,1936
2023-09-03T14:10:08.760000+00:00,1,33,252,12907,1937
2023-09-03T14:10:09+00:00,1,33,461,13161,1938
2023-09-03T14:10:09.420000+00:00,1,33,630,13325,1938
2023-09-03T14:10:09.660000+00:00,1,33,781,13454,1938
2023-09-03T14:10:09.760000+00:00,1,33,846,13505,1939
2023-09-03T14:10:10.040000+00:00,1,33,1120,13695,1940
2023-09-03T14:10:10.479000+00:00,1,33,1354,13828,1942
2023-09-03T14:10:10.679000+00:00,1,33,1506,13904,1943
2023-09-03T14:10:10.859000+00:00,1,33,1645,13966,1943
2023-09-03T14:10:11.039000+00:00,1,33,1787,14023,1944
2023-09-03T14:10:11.220000+00:00,1,33,1932,14074,1945
2023-09-03T14:10:11.460000+00:00,1,33,2278,14168,1948
2023-09-03T14:10:11.800000+00:00,1,33,2447,14203,1950
2023-09-03T14:10:12.179000+00:00,1,33,2823,14265,1954
2023-09-03T14:10:12.499000+00:00,1,33,3046,14295,1955
2023-09-03T14:10:12.699000+00:00,1,33,3218,14315,1957
2023-09-03T14:10:12.920000+00:00,1,33,3529,14342,1959
2023-09-03T14:10:13.279000+00:00,1,33,3719,14358,1960
2023-09-03T14:10:13.519000+00:00,1,33,3927,14376,1962
2023-09-03T14:10:13.680000+00:00,1,33,4066,14388,1963
2023-09-03T14:10:13.940000+00:00,1,33,4291,14405,1965
2023-09-03T14:10:14.180000+00:00,1,33,4551,14424,1966
2023-09-03T14:10:14.560000+00:00,1,33,4828,14441,1967
2023-09-03T14:10:14.800000+00:00,1,33,5035,14452,1967
2023-09-03T14:10:15+00:00,1,33,5205,14460,1967
2023-09-03T14:10:15.240000+00:00,1,33,5455,14470,1967
2023-09-03T14:10:15.640000+00:00,1,33,5723,14481,1967
2023-09-03T14:10:15.800000+00:00,1,33,5841,14485,1967
2023-09-03T14:10:16+00:00,1,33,6041,14492,1966
2023-09-03T14:10:16.460000+00:00,1,33,6271,14501,1966
2023-09-03T14:10:16.740000+00:00,1,33,6378,14507,1966
2023-09-03T14:10:17.099000+00:00,1,33,6526,14526,1965
